episode,total_reward
1,-466.83975768089294
2,-2238.3179292678833
3,-2106.775001525879
4,-1149.3976288437843
5,-1056.063220024109
6,-703.1016975045204
7,-504.3492035269737
8,-950.9021329879761
9,-948.0048446655273
10,-953.586667060852
11,-950.6578130722046
12,-951.150312423706
13,-944.1291689872742
14,-945.3009366989136
15,-958.7722024917603
16,-925.1475481987
17,-945.8890428543091
18,-953.5235662460327
19,-912.8206758499146
20,-262.68294858932495
21,-236.87595382332802
22,-238.44733449816704
23,-218.6236476302147
24,-256.6252027750015
25,-262.0536332130432
26,-263.72299617528915
27,-235.98761984705925
28,-273.5884934067726
29,-235.75985223054886
30,-234.40355867147446
31,-242.10802346467972
32,-235.59135791659355
33,-266.0688633918762
34,-260.01671743392944
35,-265.86467480659485
36,-263.0748834013939
37,-257.66377049684525
38,-270.19198232889175
39,-270.48720449209213
40,-262.01500129699707
41,-261.2336410880089
42,-267.8584589958191
43,-239.00130885839462
44,-243.52010729908943
45,-260.30007219314575
46,-268.586323261261
47,-262.4445605278015
48,-273.1304261088371
49,-231.35037177801132
50,-263.92622339725494
51,-236.6529170870781
52,-234.38867139816284
53,-303.41013437509537
54,-264.9508977532387
55,-264.3150643706322
56,-269.3433663249016
57,-262.74387580156326
58,-268.4755537509918
59,-243.29254260659218
60,-261.0056310892105
61,-212.74347174167633
62,-265.3028879761696
63,-237.52030232548714
64,-263.2434452176094
65,-262.1899099946022
66,-260.91200733184814
67,-237.02314838767052
68,-237.968719124794
69,-292.6500288248062
70,-238.97974979877472
71,-267.3367641568184
72,-237.71976000070572
73,-262.0337141752243
74,-238.84543412923813
75,-269.57522654533386
76,-240.00114759802818
77,-297.6618177294731
78,-262.8057678937912
79,-265.15104538202286
80,-259.0198965668678
81,-234.68163883686066
82,-235.5486038327217
83,-238.67732855677605
84,-235.13003680109978
85,-235.876890540123
86,-281.8486326932907
87,-238.19892516732216
88,-233.11879941821098
89,-272.16135239601135
90,-221.5679405927658
91,-235.9307500720024
92,-239.02402067184448
93,-261.28921192884445
94,-247.42829382419586
95,-238.9268344938755
96,-238.87166264653206
97,-262.37585097551346
98,-236.12242886424065
99,-261.87900799512863
100,-263.69387316703796
101,-235.26385954022408
102,-263.779048204422
103,-270.23178774118423
104,-265.63587045669556
105,-237.9598822593689
106,-228.75605350732803
107,-262.61234390735626
108,-272.1227406859398
109,-273.4430515766144
110,-231.3281128704548
111,-236.2701492011547
112,-266.61062186956406
113,-235.65452933311462
114,-238.60988456010818
115,-273.60218903422356
116,-230.79551509022713
